id,lang,style,mood,pop,year,generation,author,song,date,website,url,version,processed,_author,_song,_retired,tested,proposed_tona,transposed_tona,listened_tona,chords_simplified,score,notes
1,,,,,,,ogres de barback,3-0,,,,,0,,,,,,,,,,
2,,,,,,,nena,99 luftballons,,,https://www.boiteachansons.net/partitions/nena/99-luftballons,,0,nena,99 luftballons,,,,,,,,
3,,,,,,,trois cafes gourmands,a nos souvenirs,,,https://www.boiteachansons.net/partitions/trois-cafes-gourmands/a-nos-souvenirs,,0,trois cafes gourmands,a nos souvenirs,,,,,,,,
4,,,,,,,marc ogeret,adieu cher camarade,,,https://www.boiteachansons.net/partitions/marc-ogeret/adieu-cher-camarade,,0,marc ogeret,adieu cher camarade,,,,,,,,
5,,,,,,,toto,africa,,,https://www.boiteachansons.net/partitions/toto/africa,,0,toto,africa,,,,,,,,
6,,,,,,,,ah le petit vin blanc,,,https://www.boiteachansons.net/partitions/lina-margy/ah-le-petit-vin-blanc,,0,lina margy,ah le petit vin blanc,,,,,,,,
7,,,,,,,daniel balavoine,aimer est plus fort que d etre aime,,,https://www.boiteachansons.net/partitions/daniel-balavoine/aimer-est-plus-fort-que-d-etre-aime,,0,daniel balavoine,aimer est plus fort que d etre aime,,,,,,,,
8,,,,,,,claude francois,alexandrie alexandra,,,https://www.boiteachansons.net/partitions/claude-francois/alexandrie-alexandra,,0,claude francois,alexandrie alexandra,,,,,,,,
9,,,,,,,boulevard des airs,allez reste,,,https://www.boiteachansons.net/partitions/boulevard-des-airs/allez-reste,,0,boulevard des airs,allez reste,,,,,,,,
10,,,,,,,johnny hallyday,allumer le feu,,,https://www.boiteachansons.net/partitions/johnny-hallyday/allumer-le-feu,,0,johnny hallyday,allumer le feu,,,,,,,,
11,,,,,,,mickael young,alphonse brown,,,,,0,,,,,,,,,,
12,,,,,,,jacques brel,amsterdam,,,https://www.boiteachansons.net/partitions/jacques-brel/amsterdam,,0,jacques brel,amsterdam,,,,,,,,
13,,,,,,,kendji girac,andalouse,,,https://www.boiteachansons.net/partitions/kendji-girac/andalouse,,0,kendji girac,andalouse,,,,,,,,
14,fr,,,,,,rita mitsouko,andy,,,,,0,,,,,,,,,,
15,,,,,,,queen,another one bites the dust,,,https://www.boiteachansons.net/partitions/queen/another-one-bites-the-dust,,0,queen,another one bites the dust,,,,,,,,
16,,,,,,,las ketchup,asereje,,,https://www.boiteachansons.net/partitions/las-ketchup/asereje,,0,las ketchup,asereje,,,,,,,,
17,,,,,,,,au bar est barre papa,,,,,0,,,,,,,,,,
18,,,,,,,pierre perret,au cafe du canal,,,https://www.boiteachansons.net/partitions/pierre-perret/au-cafe-du-canal,,0,pierre perret,au cafe du canal,,,,,,,,
19,,,,,,,jenifer,Au soleil ,,,,,0,,,,,,,,,,
20,,,,,,,113,Au summum,,,,,0,,,,,,,,,,
21,,,,,,,les innocents,Autre Finistère,,,https://www.boiteachansons.net/partitions/les-innocents/l-autre-finistere,,0,les innocents,l autre finistere,,,,,,,,
22,,,,,,,yannick noah,aux arbres citoyens,,,https://www.boiteachansons.net/partitions/yannick-noah/aux-arbres-citoyens,,0,yannick noah,aux arbres citoyens,,,,,,,,
23,,,,,,,britney spears,baby one more time,,,https://www.boiteachansons.net/partitions/britney-spears/baby-one-more-time,,0,britney spears,baby one more time,,,,,,,,
24,,,,,,,lady gaga,bad romance,,,https://www.boiteachansons.net/partitions/lady-gaga/bad-romance,,0,lady gaga,bad romance,,,,,,,,
25,,,,,,,,Bailando baila,,,,,0,,,,,,,,,,
26,,,,,,,paradisio,Baillando,,,,,0,,,,,,,,,,
27,,,,,,,dalida,bambino,,,https://www.boiteachansons.net/partitions/dalida/bambino,,0,dalida,bambino,,,,,,,,
28,,,,,,,starmania,banlieue nord,,,https://www.boiteachansons.net/partitions/starmania/banlieue-nord,,0,starmania,banlieue nord,,,,,,,,
29,,,,,,,aqua,barbie girl,,,https://www.boiteachansons.net/partitions/aqua/barbie-girl,,0,aqua,barbie girl,,,,,,,,
30,,,,,,,ofenbach,be mine,,,https://www.boiteachansons.net/en/partitions/ofenbach/be-mine,,0,ofenbach,be mine,,,,,,,,
31,,,,,,,claude francois,belinda,,,https://www.boiteachansons.net/partitions/claude-francois/belinda,,0,claude francois,belinda,,,,,,,,
32,,,,,,,maitre gims,bella,,,https://www.boiteachansons.net/partitions/maitre-gims/bella,,0,maitre gims,bella,,,,,,,,
33,,,,,,,thomas fersen,bella ciao,,,https://www.boiteachansons.net/partitions/thomas-fersen/bella-ciao,,0,thomas fersen,bella ciao,,,,,,,,
34,,,,,,,les fatals picards,bernard lavillier,,,https://www.boiteachansons.net/partitions/les-fatals-picards/bernard-lavillier,,0,les fatals picards,bernard lavillier,,,,,,,,
35,,,,,,,dalida,besame mucho,,,https://www.boiteachansons.net/partitions/dalida/besame-mucho,,0,dalida,besame mucho,,,,,,,,
36,,,,,,,cesaria evora,besame mucho,,,https://www.boiteachansons.net/partitions/cesaria-evora/besame-mucho,,0,cesaria evora,besame mucho,,,,,,,,
37,,,,,,,peter et sloane,besoin de rien envie de toi,,,https://www.boiteachansons.net/partitions/peter-et-sloane/besoin-de-rien-envie-de-toi,,0,peter et sloane,besoin de rien envie de toi,,,,,,,,
38,,,,,,,france gall,besoin de vous,,,https://www.boiteachansons.net/partitions/france-gall/besoin-de-vous,,0,france gall,besoin de vous,,,,,,,,
39,,,,,,,chris isaak,blue hotel,,,https://www.boiteachansons.net/partitions/chris-isaak/blue-hotel,,0,chris isaak,blue hotel,,,,,,,,
40,,,,,,,jean jacques goldman,bonne idee,,,https://www.boiteachansons.net/partitions/jean-jacques-goldman/bonne-idee,,0,jean jacques goldman,bonne idee,,,,,,,,
41,,,,,,,the doors,break on through (to the other side),,,https://www.boiteachansons.net/partitions/the-doors/break-on-through-(to-the-other-side),,0,the doors,break on through (to the other side),,,,,,,,
42,,,,,,,,Bubamara ,,,,,0,,,,,,,,,,
43,,,,,,,pony pony run run,c est beau la bourgeoisie,,,https://www.boiteachansons.net/partitions/pony-pony-run-run/c-est-beau-la-bourgeoisie,,0,pony pony run run,c est beau la bourgeoisie,,,,,,,,
44,,,,,,,blondie,call me,,,https://www.boiteachansons.net/partitions/blondie/call-me,,0,blondie,call me,,,,,,,,
45,,,,,,,frankie valli,cant take my eyes off you,,,https://www.boiteachansons.net/partitions/frankie-valli/cant-take-my-eyes-off-you,,0,frankie valli,cant take my eyes off you,,,,,,,,
46,,,,,,,gold,Capitaine abandonné,,,https://www.boiteachansons.net/partitions/gold/capitaine-abandonne,,0,gold,capitaine abandonne,,,,,,,,
47,,,,,,,la rue ketanou,capitaine de la barrique,,,https://www.boiteachansons.net/partitions/la-rue-ketanou/capitaine-de-la-barrique,,0,la rue ketanou,capitaine de la barrique,,,,,,,,
48,,,,,,,les amis de ta femme,cayenne,,,https://www.boiteachansons.net/partitions/les-amis-de-ta-femme/cayenne,,0,les amis de ta femme,cayenne,,,,,,,,
49,,,,,,,boulevard des airs,Ce gamin la,,,,,0,,,,,,,,,,
50,,,,,,,telephone,cendrillon,,,https://www.boiteachansons.net/partitions/telephone/cendrillon,,0,telephone,cendrillon,,,,,,,,
51,,,,,,,sia,chandelier,,,https://www.boiteachansons.net/partitions/sia/chandelier,,0,sia,chandelier,,,,,,,,
52,,,,,,,jacques sevin,chant des adieux (ce n est qu un au revoir),,,https://www.boiteachansons.net/partitions/jacques-sevin/chant-des-adieux-(ce-n-est-qu-un-au-revoir),,0,jacques sevin,chant des adieux (ce n est qu un au revoir),,,,,,,,
53,,,,,,,michel berger,chanter pour ceux qui sont loin de chez eux,,,https://www.boiteachansons.net/partitions/michel-berger/chanter-pour-ceux-qui-sont-loin-de-chez-eux,,0,michel berger,chanter pour ceux qui sont loin de chez eux,,,,,,,,
54,fr,,,,,,annie cordie,chaud cacao,,,,,0,,,,,,,,,,
55,,,,,,,sia,cheap thrills,,,https://www.boiteachansons.net/partitions/sia/cheap-thrills,,0,sia,cheap thrills,,,,,,,,
56,,,,,,,philippe lafontaine,coeur de loup,,,https://www.boiteachansons.net/partitions/philippe-lafontaine/coeur-de-loup,,0,philippe lafontaine,coeur de loup,,,,,,,,
57,,,,,,,les ogres de barback,contes vents et marees,,,https://www.boiteachansons.net/partitions/les-ogres-de-barback/contes-vents-et-marees,,0,les ogres de barback,contes vents et marees,,,,,,,,
58,,,,,,,serge gainsbourg,couleur cafe,,,https://www.boiteachansons.net/partitions/serge-gainsbourg/couleur-cafe,,0,serge gainsbourg,couleur cafe,,,,,,,,
59,,,,,,,one republic,counting stars,,,https://www.boiteachansons.net/partitions/one-republic/counting-stars,,0,one republic,counting stars,,,,,,,,
60,,,,,,,beyonce,crazy in love,,,https://www.boiteachansons.net/partitions/beyonce/crazy-in-love,,0,beyonce,crazy in love,,,,,,,,
61,,,,,,,tones and i,dance monkey,,,https://www.boiteachansons.net/partitions/tones-and-i/dance-monkey,,0,tones and i,dance monkey,,,,,,,,
62,,,,,,,elmer food beat,daniela,,,https://www.boiteachansons.net/partitions/elmer-food-beat/daniela,,0,elmer food beat,daniela,,,,,,,,
63,,,,,,,joe dassin,dans les yeux d emilie,,,https://www.boiteachansons.net/partitions/joe-dassin/dans-les-yeux-d-emilie,,0,joe dassin,dans les yeux d emilie,,,,,,,,
64,,,,,,,renaud,dans mon hlm,,,https://www.boiteachansons.net/partitions/renaud/dans-mon-hlm,,0,renaud,dans mon hlm,,,,,,,,
65,,,,,,,,danza kuduro,,,,,0,,,,,,,,,,
66,,,,,,,renaud,des que le vent soufflera,,,https://www.boiteachansons.net/partitions/renaud/des-que-le-vent-soufflera,,0,renaud,des que le vent soufflera,,,,,,,,
67,,,,,,,mylene farmer,desenchantee,,,https://www.boiteachansons.net/partitions/mylene-farmer/desenchantee,,0,mylene farmer,desenchantee,,,,,,,,
68,,,,,,,queen,don t stop me now,,,https://www.boiteachansons.net/partitions/queen/don-t-stop-me-now,,0,queen,don t stop me now,,,,,,,,
69,,,,,,,les frangines,donnez moi,,,https://www.boiteachansons.net/partitions/les-frangines/donnez-moi,,0,les frangines,donnez moi,,,,,,,,
70,,,,,,,bobby mcferrin,dont worry be happy,,,https://www.boiteachansons.net/partitions/bobby-mcferrin/dont-worry-be-happy,,0,bobby mcferrin,dont worry be happy,,,,,,,,
71,,,,,,,O-zone,Dragoste dintei,,,https://www.boiteachansons.net/partitions/o-zone/dragostea-din-tei,,0,o zone,dragostea din tei,,,,,,,,
72,,,,,,,georgette plana,e viva espana,,,https://www.boiteachansons.net/partitions/georgette-plana/e-viva-espana,,0,georgette plana,e viva espana,,,,,,,,
73,,,,,,,manu chao,el viento,,,https://www.boiteachansons.net/partitions/manu-chao/el-viento,,0,manu chao,el viento,,,,,,,,
74,,,,,,,la rue ketanou,elle est belle,,,https://www.boiteachansons.net/partitions/la-rue-ketanou/elle-est-belle,,0,la rue ketanou,elle est belle,,,,,,,,
75,,,,,,,charles aznavour,emmenez moi,,,https://www.boiteachansons.net/partitions/charles-aznavour/emmenez-moi,,0,charles aznavour,emmenez moi,,,,,,,,
76,,,,,,,renaud,en cloque,,,https://www.boiteachansons.net/partitions/renaud/en-cloque,,0,renaud,en cloque,,,,,,,,
77,,,,,,,francis cabrel,encore et encore,,,https://www.boiteachansons.net/partitions/francis-cabrel/encore-et-encore,,0,francis cabrel,encore et encore,,,,,,,,
78,,,,,,,sting,englishman in new york,,,https://www.boiteachansons.net/partitions/sting/englishman-in-new-york,,0,sting,englishman in new york,,,,,,,,
79,,,,,,,nadiya,Et c'est parti pour le show,,,,,0,,,,,,,,,,
80,,,,,,,jean jacques goldman,et l on n y peut rien,,,https://www.boiteachansons.net/partitions/jean-jacques-goldman/et-l-on-n-y-peut-rien,,0,jean jacques goldman,et l on n y peut rien,,,,,,,,
81,,,,,,,michel sardou,etre une femme,,,https://www.boiteachansons.net/partitions/michel-sardou/etre-une-femme,,0,michel sardou,etre une femme,,,,,,,,
82,,,,,,,julie pietri,eve leve toi,,,https://www.boiteachansons.net/partitions/julie-pietri/eve-leve-toi,,0,julie pietri,eve leve toi,,,,,,,,
83,,,,,,,cascada,every time we touch,,,https://www.boiteachansons.net/partitions/cascada/everytime-we-touch,,0,cascada,everytime we touch,,,,,,,,
84,,,,,,,tribal king,facon sex,,,,,0,,,,,,,,,,
85,,,,,,,michel fugain,fais comme l oiseau,,,https://www.boiteachansons.net/partitions/michel-fugain/fais-comme-l-oiseau,,0,michel fugain,fais comme l oiseau,,,,,,,,
86,,,,,,,k maro,femme like u,,,https://www.boiteachansons.net/partitions/k-maro/femme-like-u,,0,k maro,femme like u,,,,,,,,
87,,,,,,,fatal bazooka,fous ta cagoule,,,,,0,,,,,,,,,,
88,,,,,,,gala,Free from desire,,,https://www.boiteachansons.net/partitions/emma-daumas/freed-from-desire,,0,emma daumas,freed from desire,,,,,,,,
89,,,,,,,inna modja,french cancan (monsieur sainte nitouche),,,https://www.boiteachansons.net/partitions/inna-modja/french-cancan-(monsieur-sainte-nitouche),,0,inna modja,french cancan (monsieur sainte nitouche),,,,,,,,
90,,,,,,,johnny hallyday,gabrielle,,,https://www.boiteachansons.net/partitions/johnny-hallyday/gabrielle,,0,johnny hallyday,gabrielle,,,,,,,,
91,,,,,,,coolio,gangsta s paradise,,,https://www.boiteachansons.net/partitions/coolio/gangsta-s-paradise,,0,coolio,gangsta s paradise,,,,,,,,
92,,,,,,,renaud,germaine,,,https://www.boiteachansons.net/partitions/renaud/germaine,,0,renaud,germaine,,,,,,,,
94,,,,,,,dalida,gigi l amoroso,,,https://www.boiteachansons.net/partitions/dalida/gigi-l-amoroso,,0,dalida,gigi l amoroso,,,,,,,,
95,,,,,,,tetes raides,ginette,,,https://www.boiteachansons.net/partitions/tetes-raides/ginette,,0,tetes raides,ginette,,,,,,,,
96,,,,,,,mika,grace kelly,,,https://www.boiteachansons.net/partitions/mika/grace-kelly,,0,mika,grace kelly,,,,,,,,
97,,,,,,,dans sa cabane,Grand Cerf (Un),,,,,0,,,,,,,,,,
98,,,,,,,ogres de barback,grand mere,,,,,0,,,,,,,,,,
99,,,,,,,jeff buckley,hallelujah,,,https://www.boiteachansons.net/partitions/jeff-buckley/hallelujah,,0,jeff buckley,hallelujah,,,,,,,,
100,,,,,,,pharrell williams,happy,,,https://www.boiteachansons.net/partitions/pharrell-williams/happy,,0,pharrell williams,happy,,,,,,,,
